beer_name,type,supertype,alcohol_percent,rating,number_of_ratings,brewery_name,address,region,lon,lat,brewery_type,est,link
3 Crates #YAY IPA,IPA,IPA,6.4,3.15,5,3 Crates Brewing,"Vestermøllevej 18, Klitmøller, Denmark  7700","Nordvestjylland, Vestjylland, dele af Midtjylland, dele af Sydjylland samt det sydlige Østjylland ",8.6949,56.9552,Microbrewery,2018,https://www.ratebeer.com/brewers/3-crates-brewing/34644/
3 Crates ADAM AVEC Quadruple,Abbey Quadrupel / Abt,Abbey,11.4,2.91,2,3 Crates Brewing,"Vestermøllevej 18, Klitmøller, Denmark  7700","Nordvestjylland, Vestjylland, dele af Midtjylland, dele af Sydjylland samt det sydlige Østjylland ",8.6949,56.9552,Microbrewery,2018,https://www.ratebeer.com/brewers/3-crates-brewing/34644/
3 Crates Aspiration Pale Ale,Pale Ale - American,Other,5.6,3.11,1,3 Crates Brewing,"Vestermøllevej 18, Klitmøller, Denmark  7700","Nordvestjylland, Vestjylland, dele af Midtjylland, dele af Sydjylland samt det sydlige Østjylland ",8.6949,56.9552,Microbrewery,2018,https://www.ratebeer.com/brewers/3-crates-brewing/34644/
3 Crates AVA AVEC Oaked Quadrupel,Abbey Quadrupel / Abt,Abbey,11.4,NA,0,3 Crates Brewing,"Vestermøllevej 18, Klitmøller, Denmark  7700","Nordvestjylland, Vestjylland, dele af Midtjylland, dele af Sydjylland samt det sydlige Østjylland ",8.6949,56.9552,Microbrewery,2018,https://www.ratebeer.com/brewers/3-crates-brewing/34644/
3 Crates Buses Session IPA,IPA - Session,IPA,5,3.02,1,3 Crates Brewing,"Vestermøllevej 18, Klitmøller, Denmark  7700","Nordvestjylland, Vestjylland, dele af Midtjylland, dele af Sydjylland samt det sydlige Østjylland ",8.6949,56.9552,Microbrewery,2018,https://www.ratebeer.com/brewers/3-crates-brewing/34644/
3 Crates Cautious Dimples Farmhouse Blend,Saison,Other,6.7,NA,0,3 Crates Brewing,"Vestermøllevej 18, Klitmøller, Denmark  7700","Nordvestjylland, Vestjylland, dele af Midtjylland, dele af Sydjylland samt det sydlige Østjylland ",8.6949,56.9552,Microbrewery,2018,https://www.ratebeer.com/brewers/3-crates-brewing/34644/
3 Crates Cautious Farmhouse,Sour / Wild Ale,Other,6,3.15,1,3 Crates Brewing,"Vestermøllevej 18, Klitmøller, Denmark  7700","Nordvestjylland, Vestjylland, dele af Midtjylland, dele af Sydjylland samt det sydlige Østjylland ",8.6949,56.9552,Microbrewery,2018,https://www.ratebeer.com/brewers/3-crates-brewing/34644/
3 Crates Dimple Tripel,Abbey Tripel,Abbey,7.4,NA,0,3 Crates Brewing,"Vestermøllevej 18, Klitmøller, Denmark  7700","Nordvestjylland, Vestjylland, dele af Midtjylland, dele af Sydjylland samt det sydlige Østjylland ",8.6949,56.9552,Microbrewery,2018,https://www.ratebeer.com/brewers/3-crates-brewing/34644/
3 Crates Fabric Imperial Porter,Porter - Imperial / Double,Other,8.4,3.36,7,3 Crates Brewing,"Vestermøllevej 18, Klitmøller, Denmark  7700","Nordvestjylland, Vestjylland, dele af Midtjylland, dele af Sydjylland samt det sydlige Østjylland ",8.6949,56.9552,Microbrewery,2018,https://www.ratebeer.com/brewers/3-crates-brewing/34644/
3 Crates Gold Belgian IPA,IPA,IPA,7,NA,0,3 Crates Brewing,"Vestermøllevej 18, Klitmøller, Denmark  7700","Nordvestjylland, Vestjylland, dele af Midtjylland, dele af Sydjylland samt det sydlige Østjylland ",8.6949,56.9552,Microbrewery,2018,https://www.ratebeer.com/brewers/3-crates-brewing/34644/
